Cấu hình,VQA Acc (%),BLEU,ROUGE-L,METEOR,BERTScore F1
A1 (LSTM Decoder),5358.0,0.0,6159.0,3077.0,8471.0
A2 (Transformer Decoder),5390.0,0.0,6204.0,3161.0,8473.0
